,FIPS,INTPTLONG,INTPTLAT,RPL_THEMES
161,40047001100,-97.7560915,36.5136413,0.1533
162,40109108525,-97.6659809,35.5539043,0.1542
163,40031000403,-98.5055891,34.6126038,0.1552
164,40143005806,-95.8198413,36.2705009,0.1561
165,40109108007,-97.3974779,35.4713442,0.1571
166,40109106606,-97.5880685,35.5290312,0.158
167,40109108114,-97.4415334,35.660002,0.159
168,40027202105,-97.4679888,35.3269873,0.16
169,40003955700,-98.4407255,36.7430512,0.1609
170,40143007614,-95.9311936,36.0535733,0.1619
171,40027200500,-97.4511887,35.2121869,0.1628
172,40143009009,-95.8032041,36.0929302,0.1638
173,40143007630,-95.877513,36.0246124,0.1648
174,40143007639,-95.8952531,36.0391245,0.1657
175,40109107707,-97.3986518,35.4534678,0.1667
176,40065968500,-99.275446,34.6622419,0.1676
177,40027202302,-97.1967896,35.3367992,0.1686
178,40017301409,-97.7324442,35.3844704,0.1695
179,40017301003,-97.7524882,35.467346,0.1705
180,40117957400,-96.7714571,36.3584935,0.1715
181,40109106503,-97.5403045,35.5317263,0.1724
182,40145030402,-95.6769694,36.1115458,0.1734
183,40051000902,-97.8214564,35.2709668,0.1743
184,40017300901,-97.7160452,35.5301866,0.1753
185,40143007629,-95.8953639,36.0245963,0.1762
186,40109108307,-97.5582675,35.5874302,0.1772
187,40109107807,-97.4320563,35.4246593,0.1782
188,40109106501,-97.556148,35.5306086,0.1791
189,40109108317,-97.4994808,35.6282103,0.1801
190,40105172100,-95.6528177,36.958742,0.181
191,40027201610,-97.5683733,35.3102607,0.182
192,40017300801,-97.7541331,35.5874859,0.183
193,40143006901,-95.9311733,36.0825894,0.1839
194,40143007636,-95.8954528,36.002779,0.1849
195,40039960700,-98.6720079,35.5590181,0.1858
196,40109100100,-97.5315537,35.5207581,0.1868
197,40109109202,-97.2209267,35.6776501,0.1877
198,40109107405,-97.4330755,35.4002683,0.1887
199,40143003800,-95.9135402,36.1406128,0.1897
200,40017301410,-97.7246023,35.39896,0.1906
201,40143003200,-95.9810742,36.1392065,0.1916
202,40027202206,-97.4988344,35.3042651,0.1925
203,40109108706,-97.3356473,35.4569396,0.1935
204,40143007524,-95.8686693,36.039126,0.1944
205,40109108801,-97.3291305,35.4863784,0.1954
206,40145030800,-95.6008385,36.0098903,0.1964
207,40109107705,-97.4149518,35.4598513,0.1973
208,40125500600,-96.9209973,35.3544554,0.1983
209,40017301007,-97.733591,35.45925,0.1992
210,40119010800,-97.0832858,36.1103844,0.2002
211,40049681900,-97.4291891,34.6156654,0.2011
212,40037020705,-96.4650208,36.0971588,0.2021
213,40049681200,-97.1880706,34.7838039,0.2031
214,40043959300,-99.0791414,35.9131463,0.204
215,40151954200,-98.9516808,36.8849288,0.204
216,40109103000,-97.5005419,35.4737056,0.2059
217,40097040300,-95.426556,36.271086,0.2069
218,40109107210,-97.5560448,35.3788609,0.2079
219,40047001200,-97.755189,36.2540131,0.2088
220,40087400102,-97.6118026,35.1222296,0.2098
221,40027202106,-97.456362,35.3391819,0.2107
222,40131050203,-95.5924333,36.3110545,0.2117
223,40143006507,-96.0917624,36.0899911,0.2126
224,40109108304,-97.4735657,35.6308032,0.2136
225,40143005807,-95.8414238,36.3095806,0.2146
226,40109108704,-97.2742064,35.4063711,0.2155
227,40025950100,-102.7661165,36.6346417,0.2165
228,40119010101,-97.0437483,36.1678138,0.2174
229,40017301407,-97.7591092,35.390981,0.2184
230,40017301202,-97.7499399,35.4853188,0.2193
231,40143003100,-95.9943752,36.1389945,0.2203
232,40147001300,-95.9111456,36.5470199,0.2213
233,40131050801,-95.7335836,36.4014788,0.2222
234,40027200900,-97.4743883,35.2256924,0.2232
