Budget :,0.0,Tornado Length:,25.0
Best Bound:,15974
Best Objective:,15974
Gap:,0.0
CCG Run time:,1570.33
CCG Iteration:,2
Subproblem Run time:,1570.01
Number of Subproblem Callbacks:,48
Subproblem Callbacks Run Time:,8.06
Number of Uncertainty Set Check Call:,0
Uncertainty Set Check Run Time:,0
Head of worst tornado:,-94.575,37.057
Tail of worst tornado:,-94.426,37.094

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recover,Recovery Cost,Dislocation
177,-94.474,37.117,130,Do_nothing,0,NO,0,0,0,
16,-94.472,37.077,775,Do_nothing,0,YES,0.0,0,768,
138,-94.469,37.126,555,Do_nothing,0,NO,0,0,0,
194,-94.468,37.089,417,Do_nothing,0,YES,0.0,0,413,
76,-94.467,37.076,242,Do_nothing,0,NO,0,0,0,
32,-94.466,37.082,123,Do_nothing,0,YES,0.0,0,122,
5,-94.466,37.103,482,Do_nothing,0,NO,0,0,0,
124,-94.466,37.108,852,Do_nothing,0,NO,0,0,0,
79,-94.464,37.087,222,Do_nothing,0,YES,0.0,0,220,
143,-94.462,37.105,1212,Do_nothing,0,NO,0,0,0,
50,-94.461,37.048,227,Do_nothing,0,NO,0,0,0,
162,-94.461,37.076,203,Do_nothing,0,NO,0,0,0,
190,-94.459,37.115,2,Do_nothing,0,NO,0,0,0,
42,-94.458,37.065,322,Do_nothing,0,NO,0,0,0,
125,-94.458,37.086,191,Do_nothing,0,YES,0.0,0,189,
78,-94.458,37.123,16,Do_nothing,0,NO,0,0,0,
65,-94.456,37.107,108,Do_nothing,0,NO,0,0,0,
183,-94.454,37.051,34,Do_nothing,0,NO,0,0,0,
22,-94.452,37.086,6,Do_nothing,0,YES,0.0,0,6,
141,-94.452,37.064,136,Do_nothing,0,NO,0,0,0,
199,-94.447,37.069,117,Do_nothing,0,NO,0,0,0,
200,-94.447,37.099,93,Do_nothing,0,NO,0,0,0,
98,-94.445,37.092,65,Do_nothing,0,YES,0.0,0,64,
74,-94.443,37.054,576,Do_nothing,0,NO,0,0,0,
